system:time_start,precipitation
"Jan 1, 2021",0
"Jan 2, 2021",0
"Jan 3, 2021",0
"Jan 4, 2021",0
"Jan 5, 2021",0
"Jan 6, 2021",0
"Jan 7, 2021",0
"Jan 8, 2021",0
"Jan 9, 2021",0
"Jan 10, 2021",0
"Jan 11, 2021",0
"Jan 12, 2021",0
"Jan 13, 2021",0
"Jan 14, 2021",0
"Jan 15, 2021",0
"Jan 16, 2021",0
"Jan 17, 2021",0
"Jan 18, 2021",0
"Jan 19, 2021",0.163
"Jan 20, 2021",0.368
"Jan 21, 2021",0.04
"Jan 22, 2021",0
"Jan 23, 2021",0.205
"Jan 24, 2021",0.336
"Jan 25, 2021",1.054
"Jan 26, 2021",2.202
"Jan 27, 2021",1.076
"Jan 28, 2021",0
"Jan 29, 2021",0.4
"Jan 30, 2021",0
"Jan 31, 2021",0
"Feb 1, 2021",0
"Feb 2, 2021",0
"Feb 3, 2021",0
"Feb 4, 2021",0
"Feb 5, 2021",0
"Feb 6, 2021",2.909
"Feb 7, 2021",0
"Feb 8, 2021",0
"Feb 9, 2021",0
"Feb 10, 2021",0
"Feb 11, 2021",0
"Feb 12, 2021",1.156
"Feb 13, 2021",0
"Feb 14, 2021",0
"Feb 15, 2021",0.019
"Feb 16, 2021",1.441
"Feb 17, 2021",0
"Feb 18, 2021",2.449
"Feb 19, 2021",0
"Feb 20, 2021",1.112
"Feb 21, 2021",0.053
"Feb 22, 2021",1.003
"Feb 23, 2021",0
"Feb 24, 2021",0
"Feb 25, 2021",0
"Feb 26, 2021",0
"Feb 27, 2021",0
"Feb 28, 2021",0
"Mar 1, 2021",0.237
"Mar 2, 2021",0
"Mar 3, 2021",0
"Mar 4, 2021",0
"Mar 5, 2021",0.169
"Mar 6, 2021",0
"Mar 7, 2021",0
"Mar 8, 2021",0
"Mar 9, 2021",0
"Mar 10, 2021",5.293
"Mar 11, 2021",2.142
"Mar 12, 2021",3.187
"Mar 13, 2021",0.934
"Mar 14, 2021",0
"Mar 15, 2021",0
"Mar 16, 2021",0.048
"Mar 17, 2021",0.129
"Mar 18, 2021",0
"Mar 19, 2021",0
"Mar 20, 2021",0
"Mar 21, 2021",0.101
"Mar 22, 2021",0
"Mar 23, 2021",0.151
"Mar 24, 2021",0
"Mar 25, 2021",0
"Mar 26, 2021",0.071
"Mar 27, 2021",0.287
"Mar 28, 2021",0
"Mar 29, 2021",1.089
"Mar 30, 2021",0
"Mar 31, 2021",0
"Apr 1, 2021",0
"Apr 2, 2021",0
"Apr 3, 2021",0
"Apr 4, 2021",0.147
"Apr 5, 2021",0
"Apr 6, 2021",0
"Apr 7, 2021",0
"Apr 8, 2021",7.521
"Apr 9, 2021",0
"Apr 10, 2021",0
"Apr 11, 2021",1.226
"Apr 12, 2021",0
"Apr 13, 2021",0
"Apr 14, 2021",0
"Apr 15, 2021",0
"Apr 16, 2021",0
"Apr 17, 2021",0.777
"Apr 18, 2021",0
"Apr 19, 2021",0
"Apr 20, 2021",0
"Apr 21, 2021",8.62
"Apr 22, 2021",8.477
"Apr 23, 2021",11.03
"Apr 24, 2021",0
"Apr 25, 2021",0
"Apr 26, 2021",0
"Apr 27, 2021",0
"Apr 28, 2021",0
"Apr 29, 2021",2.863
"Apr 30, 2021",6.875
"May 1, 2021",0
"May 2, 2021",17.418
"May 3, 2021",13.542
"May 4, 2021",0.486
"May 5, 2021",5.626
"May 6, 2021",18.165
"May 7, 2021",1.906
"May 8, 2021",0.759
"May 9, 2021",7.79
"May 10, 2021",3.24
"May 11, 2021",6.865
"May 12, 2021",1.003
"May 13, 2021",0
"May 14, 2021",0
"May 15, 2021",1.489
"May 16, 2021",0
"May 17, 2021",0.006
"May 18, 2021",17.078
"May 19, 2021",8.491
"May 20, 2021",3.956
"May 21, 2021",7.323
"May 22, 2021",0
"May 23, 2021",0.134
"May 24, 2021",9.766
"May 25, 2021",6.527
"May 26, 2021",22.581
"May 27, 2021",58.877
"May 28, 2021",0
"May 29, 2021",0.015
"May 30, 2021",16.525
"May 31, 2021",39.668
"Jun 1, 2021",4.848
"Jun 2, 2021",0.638
"Jun 3, 2021",0
"Jun 4, 2021",0
"Jun 5, 2021",4.701
"Jun 6, 2021",11.83
"Jun 7, 2021",24.552
"Jun 8, 2021",20.154
"Jun 9, 2021",6.047
"Jun 10, 2021",6.103
"Jun 11, 2021",5.917
"Jun 12, 2021",17.027
"Jun 13, 2021",17.535
"Jun 14, 2021",17.861
"Jun 15, 2021",11.798
"Jun 16, 2021",11.72
"Jun 17, 2021",34.719
"Jun 18, 2021",29.905
"Jun 19, 2021",19.238
"Jun 20, 2021",31.69
"Jun 21, 2021",17.582
"Jun 22, 2021",1.961
"Jun 23, 2021",5.984
"Jun 24, 2021",1.482
"Jun 25, 2021",14.862
"Jun 26, 2021",3.493
"Jun 27, 2021",3.463
"Jun 28, 2021",0
"Jun 29, 2021",14.917
"Jun 30, 2021",17.881
"Jul 1, 2021",23.445
"Jul 2, 2021",13.839
"Jul 3, 2021",15.791
"Jul 4, 2021",11.154
"Jul 5, 2021",7.782
"Jul 6, 2021",8.716
"Jul 7, 2021",31.415
"Jul 8, 2021",0.996
