system:time_start,precipitation
"Jan 1, 2013",0
"Jan 2, 2013",0
"Jan 3, 2013",0
"Jan 4, 2013",0
"Jan 5, 2013",0
"Jan 6, 2013",0
"Jan 7, 2013",0
"Jan 8, 2013",0
"Jan 9, 2013",0
"Jan 10, 2013",0.293
"Jan 11, 2013",0.1
"Jan 12, 2013",0
"Jan 13, 2013",0
"Jan 14, 2013",0
"Jan 15, 2013",0
"Jan 16, 2013",0
"Jan 17, 2013",0
"Jan 18, 2013",5.941
"Jan 19, 2013",2.37
"Jan 20, 2013",0
"Jan 21, 2013",0
"Jan 22, 2013",0
"Jan 23, 2013",0
"Jan 24, 2013",0
"Jan 25, 2013",0
"Jan 26, 2013",0
"Jan 27, 2013",0.147
"Jan 28, 2013",0.189
"Jan 29, 2013",0.178
"Jan 30, 2013",0
"Jan 31, 2013",0.459
"Feb 1, 2013",0
"Feb 2, 2013",0
"Feb 3, 2013",0
"Feb 4, 2013",0
"Feb 5, 2013",0
"Feb 6, 2013",0
"Feb 7, 2013",0
"Feb 8, 2013",0
"Feb 9, 2013",0
"Feb 10, 2013",0
"Feb 11, 2013",0
"Feb 12, 2013",0
"Feb 13, 2013",0
"Feb 14, 2013",0
"Feb 15, 2013",0
"Feb 16, 2013",16.607
"Feb 17, 2013",4.14
"Feb 18, 2013",0
"Feb 19, 2013",0
"Feb 20, 2013",0
"Feb 21, 2013",0
"Feb 22, 2013",0
"Feb 23, 2013",0
"Feb 24, 2013",0
"Feb 25, 2013",0
"Feb 26, 2013",0
"Feb 27, 2013",0
"Feb 28, 2013",0
"Mar 1, 2013",0
"Mar 2, 2013",0
"Mar 3, 2013",0
"Mar 4, 2013",0
"Mar 5, 2013",0
"Mar 6, 2013",0.05
"Mar 7, 2013",0.036
"Mar 8, 2013",0
"Mar 9, 2013",0
"Mar 10, 2013",0
"Mar 11, 2013",1.439
"Mar 12, 2013",0
"Mar 13, 2013",0
"Mar 14, 2013",0
"Mar 15, 2013",0
"Mar 16, 2013",0.721
"Mar 17, 2013",0.108
"Mar 18, 2013",0
"Mar 19, 2013",0
"Mar 20, 2013",0
"Mar 21, 2013",13.578
"Mar 22, 2013",0
"Mar 23, 2013",0
"Mar 24, 2013",0
"Mar 25, 2013",0
"Mar 26, 2013",0
"Mar 27, 2013",0.623
"Mar 28, 2013",0
"Mar 29, 2013",0
"Mar 30, 2013",0
"Mar 31, 2013",0
"Apr 1, 2013",0
"Apr 2, 2013",0
"Apr 3, 2013",0
"Apr 4, 2013",0
"Apr 5, 2013",0
"Apr 6, 2013",0
"Apr 7, 2013",0
"Apr 8, 2013",0
"Apr 9, 2013",0
"Apr 10, 2013",3.621
"Apr 11, 2013",0
"Apr 12, 2013",0
"Apr 13, 2013",0
"Apr 14, 2013",4.429
"Apr 15, 2013",7.21
"Apr 16, 2013",6.113
"Apr 17, 2013",6.76
"Apr 18, 2013",7.575
"Apr 19, 2013",24.451
"Apr 20, 2013",5.837
"Apr 21, 2013",11.929
"Apr 22, 2013",0.527
"Apr 23, 2013",0
"Apr 24, 2013",0.206
"Apr 25, 2013",0
"Apr 26, 2013",0.217
"Apr 27, 2013",4.968
"Apr 28, 2013",2.808
"Apr 29, 2013",2.992
"Apr 30, 2013",4.203
"May 1, 2013",17.483
"May 2, 2013",0
"May 3, 2013",0
"May 4, 2013",0
"May 5, 2013",0
"May 6, 2013",0
"May 7, 2013",0
"May 8, 2013",0
"May 9, 2013",0
"May 10, 2013",0.816
"May 11, 2013",0
"May 12, 2013",28.494
"May 13, 2013",0
"May 14, 2013",0
"May 15, 2013",0
"May 16, 2013",0
"May 17, 2013",0
"May 18, 2013",0
"May 19, 2013",0
"May 20, 2013",0
"May 21, 2013",0
"May 22, 2013",21.363
"May 23, 2013",24.672
"May 24, 2013",3.797
"May 25, 2013",0.294
"May 26, 2013",113.951
"May 27, 2013",3.906
"May 28, 2013",9.675
"May 29, 2013",0
"May 30, 2013",5.205
"May 31, 2013",0.652
"Jun 1, 2013",0
"Jun 2, 2013",0.175
"Jun 3, 2013",24.417
"Jun 4, 2013",33.245
"Jun 5, 2013",22.127
"Jun 6, 2013",20.435
"Jun 7, 2013",0.532
"Jun 8, 2013",12.234
"Jun 9, 2013",9.262
"Jun 10, 2013",2.374
"Jun 11, 2013",0
"Jun 12, 2013",0
"Jun 13, 2013",0
"Jun 14, 2013",15.669
"Jun 15, 2013",21.169
"Jun 16, 2013",1.49
"Jun 17, 2013",4.132
"Jun 18, 2013",16.867
"Jun 19, 2013",13.184
"Jun 20, 2013",20.988
"Jun 21, 2013",29.978
"Jun 22, 2013",5.687
"Jun 23, 2013",23.554
"Jun 24, 2013",11.966
"Jun 25, 2013",8.812
"Jun 26, 2013",13.334
"Jun 27, 2013",12.968
"Jun 28, 2013",19.437
"Jun 29, 2013",16.677
"Jun 30, 2013",23.37
"Jul 1, 2013",0.809
"Jul 2, 2013",38.916
"Jul 3, 2013",34.702
"Jul 4, 2013",20.626
"Jul 5, 2013",19.397
"Jul 6, 2013",8.181
"Jul 7, 2013",26.349
"Jul 8, 2013",51.151
"Jul 9, 2013",55.579
"Jul 10, 2013",10.903
"Jul 11, 2013",41.007
"Jul 12, 2013",3.017
"Jul 13, 2013",1.056
"Jul 14, 2013",15.419
"Jul 15, 2013",0
"Jul 16, 2013",1.072
"Jul 17, 2013",24.34
"Jul 18, 2013",12.459
"Jul 19, 2013",20.535
"Jul 20, 2013",18.277
"Jul 21, 2013",17.136
"Jul 22, 2013",10.04
"Jul 23, 2013",0.152
"Jul 24, 2013",13.545
"Jul 25, 2013",0
"Jul 26, 2013",24.262
"Jul 27, 2013",1.376
"Jul 28, 2013",16.497
"Jul 29, 2013",3.656
"Jul 30, 2013",53.296
"Jul 31, 2013",54.453
"Aug 1, 2013",0.231
"Aug 2, 2013",10.051
"Aug 3, 2013",31.027
"Aug 4, 2013",43.156
"Aug 5, 2013",33.607
"Aug 6, 2013",2.834
"Aug 7, 2013",3.357
"Aug 8, 2013",0.12
"Aug 9, 2013",0.211
"Aug 10, 2013",16.838
"Aug 11, 2013",11.455
"Aug 12, 2013",10.194
"Aug 13, 2013",16.343
"Aug 14, 2013",16.871
"Aug 15, 2013",46.566
"Aug 16, 2013",50.975
"Aug 17, 2013",33.901
"Aug 18, 2013",11.44
"Aug 19, 2013",5.714
"Aug 20, 2013",25.848
"Aug 21, 2013",18.008
"Aug 22, 2013",0.07
"Aug 23, 2013",6.606
"Aug 24, 2013",1.807
"Aug 25, 2013",27.041
"Aug 26, 2013",51.577
"Aug 27, 2013",14.327
"Aug 28, 2013",0
"Aug 29, 2013",0
"Aug 30, 2013",4.353
"Aug 31, 2013",35.345
"Sep 1, 2013",33.191
"Sep 2, 2013",33.739
"Sep 3, 2013",2.548
"Sep 4, 2013",0.546
"Sep 5, 2013",43.05
"Sep 6, 2013",17.804
