system:time_start,precipitation
"Jan 1, 2021",0
"Jan 2, 2021",0
"Jan 3, 2021",0
"Jan 4, 2021",0
"Jan 5, 2021",0
"Jan 6, 2021",0
"Jan 7, 2021",0
"Jan 8, 2021",0
"Jan 9, 2021",0
"Jan 10, 2021",2.507
"Jan 11, 2021",0
"Jan 12, 2021",0
"Jan 13, 2021",0
"Jan 14, 2021",0
"Jan 15, 2021",0
"Jan 16, 2021",0
"Jan 17, 2021",0
"Jan 18, 2021",0
"Jan 19, 2021",0
"Jan 20, 2021",0
"Jan 21, 2021",0
"Jan 22, 2021",0
"Jan 23, 2021",0
"Jan 24, 2021",0
"Jan 25, 2021",0
"Jan 26, 2021",0
"Jan 27, 2021",0
"Jan 28, 2021",0
"Jan 29, 2021",3.894
"Jan 30, 2021",0
"Jan 31, 2021",0
"Feb 1, 2021",0
"Feb 2, 2021",0
"Feb 3, 2021",0
"Feb 4, 2021",0
"Feb 5, 2021",1.662
"Feb 6, 2021",3.848
"Feb 7, 2021",0
"Feb 8, 2021",0
"Feb 9, 2021",0
"Feb 10, 2021",0
"Feb 11, 2021",0
"Feb 12, 2021",0
"Feb 13, 2021",0
"Feb 14, 2021",0
"Feb 15, 2021",2.344
"Feb 16, 2021",0
"Feb 17, 2021",0
"Feb 18, 2021",0
"Feb 19, 2021",0.155
"Feb 20, 2021",1.549
"Feb 21, 2021",0
"Feb 22, 2021",0
"Feb 23, 2021",0
"Feb 24, 2021",0
"Feb 25, 2021",0
"Feb 26, 2021",0
"Feb 27, 2021",0
"Feb 28, 2021",0
"Mar 1, 2021",0.007
"Mar 2, 2021",0
"Mar 3, 2021",0
"Mar 4, 2021",0
"Mar 5, 2021",0
"Mar 6, 2021",0
"Mar 7, 2021",0
"Mar 8, 2021",0
"Mar 9, 2021",0
"Mar 10, 2021",0
"Mar 11, 2021",0
"Mar 12, 2021",0
"Mar 13, 2021",9.119
"Mar 14, 2021",0
"Mar 15, 2021",0
"Mar 16, 2021",5.062
"Mar 17, 2021",0
"Mar 18, 2021",0
"Mar 19, 2021",0.553
"Mar 20, 2021",0
"Mar 21, 2021",0
"Mar 22, 2021",0
"Mar 23, 2021",0
"Mar 24, 2021",2.887
"Mar 25, 2021",0
"Mar 26, 2021",0
"Mar 27, 2021",0
"Mar 28, 2021",0
"Mar 29, 2021",0
"Mar 30, 2021",0
"Mar 31, 2021",1.771
"Apr 1, 2021",0
"Apr 2, 2021",0
"Apr 3, 2021",0
"Apr 4, 2021",0
"Apr 5, 2021",0
"Apr 6, 2021",0
"Apr 7, 2021",0
"Apr 8, 2021",13.988
"Apr 9, 2021",0
"Apr 10, 2021",9.437
"Apr 11, 2021",0
"Apr 12, 2021",0
"Apr 13, 2021",0
"Apr 14, 2021",0
"Apr 15, 2021",11.251
"Apr 16, 2021",13.708
"Apr 17, 2021",0
"Apr 18, 2021",0
"Apr 19, 2021",0
"Apr 20, 2021",0
"Apr 21, 2021",2.7
"Apr 22, 2021",29.381
"Apr 23, 2021",0
"Apr 24, 2021",0
"Apr 25, 2021",0
"Apr 26, 2021",0
"Apr 27, 2021",0
"Apr 28, 2021",0
"Apr 29, 2021",0
"Apr 30, 2021",0
"May 1, 2021",14.732
"May 2, 2021",0
"May 3, 2021",52.311
"May 4, 2021",0
"May 5, 2021",0
"May 6, 2021",0
"May 7, 2021",10.657
"May 8, 2021",0
"May 9, 2021",0
"May 10, 2021",0
"May 11, 2021",12.837
"May 12, 2021",0
"May 13, 2021",0
"May 14, 2021",0
"May 15, 2021",0
"May 16, 2021",0
"May 17, 2021",0
"May 18, 2021",0
"May 19, 2021",0
"May 20, 2021",0
"May 21, 2021",0
"May 22, 2021",0
"May 23, 2021",0
"May 24, 2021",0
"May 25, 2021",0
"May 26, 2021",20.536
"May 27, 2021",28.713
"May 28, 2021",20.25
"May 29, 2021",0
"May 30, 2021",0
"May 31, 2021",0
"Jun 1, 2021",18.44
"Jun 2, 2021",0
"Jun 3, 2021",0
"Jun 4, 2021",0.032
"Jun 5, 2021",7.757
"Jun 6, 2021",40.694
"Jun 7, 2021",18.829
"Jun 8, 2021",1.886
"Jun 9, 2021",0
"Jun 10, 2021",2.644
"Jun 11, 2021",3.415
"Jun 12, 2021",0
"Jun 13, 2021",0
"Jun 14, 2021",38.686
"Jun 15, 2021",11.721
"Jun 16, 2021",3.419
"Jun 17, 2021",0
"Jun 18, 2021",0
"Jun 19, 2021",25.486
"Jun 20, 2021",0
"Jun 21, 2021",0
"Jun 22, 2021",17.543
"Jun 23, 2021",5.322
"Jun 24, 2021",3.854
"Jun 25, 2021",32.657
"Jun 26, 2021",14.561
"Jun 27, 2021",19.086
"Jun 28, 2021",7.894
"Jun 29, 2021",55.238
"Jun 30, 2021",25.775
"Jul 1, 2021",0
"Jul 2, 2021",7.727
"Jul 3, 2021",14.009
"Jul 4, 2021",0
"Jul 5, 2021",15.64
"Jul 6, 2021",41.133
"Jul 7, 2021",40.782
"Jul 8, 2021",2.246
"Jul 9, 2021",7.89
"Jul 10, 2021",15.191
"Jul 11, 2021",1.478
"Jul 12, 2021",0
"Jul 13, 2021",17.951
"Jul 14, 2021",9.146
