system:time_start,LST
"Jan 1, 2018",25.25
"Jan 2, 2018",22.529
"Jan 3, 2018",20.878
"Jan 4, 2018",18.28
"Jan 5, 2018",22.043
"Jan 6, 2018",17.591
"Jan 7, 2018",15.97
"Jan 8, 2018",20.539
"Jan 9, 2018",20.131
"Jan 10, 2018",20.61
"Jan 11, 2018",16.174
"Jan 12, 2018",20.028
"Jan 13, 2018",18.605
"Jan 14, 2018",19.281
"Jan 15, 2018",20.649
"Jan 16, 2018",19.422
"Jan 17, 2018",23.8
"Jan 18, 2018",20.458
"Jan 19, 2018",21.567
"Jan 20, 2018",20.923
"Jan 21, 2018",22.299
"Jan 22, 2018",23.988
"Jan 23, 2018",22.915
"Jan 24, 2018",23.943
"Jan 25, 2018",20.194
"Jan 26, 2018",23.23
"Jan 27, 2018",
"Jan 28, 2018",20.131
"Jan 29, 2018",19.361
"Jan 30, 2018",20.825
"Jan 31, 2018",
"Feb 1, 2018",22.159
"Feb 2, 2018",24.788
"Feb 3, 2018",
"Feb 4, 2018",
"Feb 5, 2018",
"Feb 6, 2018",
"Feb 7, 2018",
"Feb 8, 2018",
"Feb 9, 2018",21.574
"Feb 10, 2018",
"Feb 11, 2018",17.278
"Feb 12, 2018",26.036
"Feb 13, 2018",24.926
"Feb 14, 2018",15.25
"Feb 15, 2018",24.457
"Feb 16, 2018",26.208
"Feb 17, 2018",24.358
"Feb 18, 2018",27.724
"Feb 19, 2018",
"Feb 20, 2018",24.246
"Feb 21, 2018",
"Feb 22, 2018",25.606
"Feb 23, 2018",
"Feb 24, 2018",24.37
"Feb 25, 2018",28.99
"Feb 26, 2018",
"Feb 27, 2018",24.33
"Feb 28, 2018",25.618
"Mar 1, 2018",29.13
"Mar 2, 2018",
"Mar 3, 2018",24.57
"Mar 4, 2018",23.858
"Mar 5, 2018",23.873
"Mar 6, 2018",28.288
"Mar 7, 2018",21.796
"Mar 8, 2018",29.954
"Mar 9, 2018",28.391
"Mar 10, 2018",28.345
"Mar 11, 2018",26.899
"Mar 12, 2018",25.903
"Mar 13, 2018",21.451
"Mar 14, 2018",25.638
"Mar 15, 2018",28.836
