system:time_start,LST
"Jan 1, 2019",21.265
"Jan 2, 2019",23.432
"Jan 3, 2019",
"Jan 4, 2019",23.442
"Jan 5, 2019",
"Jan 6, 2019",25.084
"Jan 7, 2019",25.817
"Jan 8, 2019",22.235
"Jan 9, 2019",23.354
"Jan 10, 2019",21.655
"Jan 11, 2019",24.057
"Jan 12, 2019",
"Jan 13, 2019",24.856
"Jan 14, 2019",
"Jan 15, 2019",23.376
"Jan 16, 2019",23.856
"Jan 17, 2019",23.979
"Jan 18, 2019",25.362
"Jan 19, 2019",22.128
"Jan 20, 2019",25.716
"Jan 21, 2019",26.3
"Jan 22, 2019",26.448
"Jan 23, 2019",27.646
"Jan 24, 2019",25.444
"Jan 25, 2019",25.414
"Jan 26, 2019",24.197
"Jan 27, 2019",25.084
"Jan 28, 2019",
"Jan 29, 2019",23.455
"Jan 30, 2019",24.825
"Jan 31, 2019",25.732
"Feb 1, 2019",24.862
"Feb 2, 2019",26.86
"Feb 3, 2019",28.841
"Feb 4, 2019",27.598
"Feb 5, 2019",26.855
"Feb 6, 2019",
"Feb 7, 2019",28.713
"Feb 8, 2019",
"Feb 9, 2019",22.353
"Feb 10, 2019",25.009
"Feb 11, 2019",25.431
"Feb 12, 2019",28.159
"Feb 13, 2019",25.146
"Feb 14, 2019",30.254
"Feb 15, 2019",30.455
"Feb 16, 2019",
"Feb 17, 2019",26.846
"Feb 18, 2019",26.619
"Feb 19, 2019",31.424
"Feb 20, 2019",28.971
"Feb 21, 2019",34.069
"Feb 22, 2019",
"Feb 23, 2019",33.433
"Feb 24, 2019",31.292
"Feb 25, 2019",25.564
"Feb 26, 2019",
"Feb 27, 2019",22.733
"Feb 28, 2019",23.135
"Mar 1, 2019",23.588
"Mar 2, 2019",28.951
"Mar 3, 2019",27.01
"Mar 4, 2019",26.436
"Mar 5, 2019",
"Mar 6, 2019",27.848
"Mar 7, 2019",29.399
"Mar 8, 2019",29.947
"Mar 9, 2019",33.379
"Mar 10, 2019",30.035
"Mar 11, 2019",33.541
"Mar 12, 2019",32.859
"Mar 13, 2019",34.856
"Mar 14, 2019",35.106
"Mar 15, 2019",27.369
"Mar 16, 2019",32.468
"Mar 17, 2019",28.196
"Mar 18, 2019",28.494
"Mar 19, 2019",31.502
"Mar 20, 2019",36.661
"Mar 21, 2019",36.61
"Mar 22, 2019",34.217
"Mar 23, 2019",36.419
"Mar 24, 2019",33.95
"Mar 25, 2019",39.241
"Mar 26, 2019",29.912
"Mar 27, 2019",31.935
"Mar 28, 2019",35.334
"Mar 29, 2019",35.671
"Mar 30, 2019",36.154
"Mar 31, 2019",33.847
"Apr 1, 2019",35.228
"Apr 2, 2019",32.639
"Apr 3, 2019",38.882
"Apr 4, 2019",34.343
"Apr 5, 2019",33.359
"Apr 6, 2019",33.522
"Apr 7, 2019",26.092
"Apr 8, 2019",27.981
"Apr 9, 2019",30.183
"Apr 10, 2019",30.12
"Apr 11, 2019",30.048
"Apr 12, 2019",
"Apr 13, 2019",33.623
"Apr 14, 2019",34.622
"Apr 15, 2019",38.074
"Apr 16, 2019",32.113
"Apr 17, 2019",33.36
"Apr 18, 2019",28.966
"Apr 19, 2019",36.749
"Apr 20, 2019",36.014
"Apr 21, 2019",40.009
"Apr 22, 2019",32.034
"Apr 23, 2019",33.891
"Apr 24, 2019",35.701
"Apr 25, 2019",32.898
"Apr 26, 2019",37.938
"Apr 27, 2019",31.756
"Apr 28, 2019",42.433
