system:time_start,LST
"Jan 1, 2018",22.189
"Jan 2, 2018",
"Jan 3, 2018",18.682
"Jan 4, 2018",
"Jan 5, 2018",
"Jan 6, 2018",17.212
"Jan 7, 2018",
"Jan 8, 2018",16.813
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018",
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018",
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018",
"Jan 20, 2018",20.166
"Jan 21, 2018",
"Jan 22, 2018",19.959
"Jan 23, 2018",20.758
"Jan 24, 2018",22.384
"Jan 25, 2018",20.209
"Jan 26, 2018",22.324
"Jan 27, 2018",
"Jan 28, 2018",21.142
"Jan 29, 2018",
"Jan 30, 2018",19.435
"Jan 31, 2018",
"Feb 1, 2018",
"Feb 2, 2018",
"Feb 3, 2018",
"Feb 4, 2018",22.92
"Feb 5, 2018",25.278
"Feb 6, 2018",23.369
"Feb 7, 2018",21.105
"Feb 8, 2018",16.649
"Feb 9, 2018",23.646
"Feb 10, 2018",
"Feb 11, 2018",17.68
"Feb 12, 2018",25.096
"Feb 13, 2018",19.987
"Feb 14, 2018",23.325
"Feb 15, 2018",25.258
"Feb 16, 2018",27.264
"Feb 17, 2018",24.187
"Feb 18, 2018",27.156
"Feb 19, 2018",
"Feb 20, 2018",22.168
"Feb 21, 2018",27.358
"Feb 22, 2018",27.03
"Feb 23, 2018",28.629
"Feb 24, 2018",24.177
"Feb 25, 2018",26.85
"Feb 26, 2018",
"Feb 27, 2018",26.16
"Feb 28, 2018",26.033
"Mar 1, 2018",28.125
"Mar 2, 2018",28.709
"Mar 3, 2018",28.838
"Mar 4, 2018",31.194
"Mar 5, 2018",
"Mar 6, 2018",31.278
"Mar 7, 2018",28.405
"Mar 8, 2018",31.194
"Mar 9, 2018",29.6
"Mar 10, 2018",30.764
"Mar 11, 2018",31.479
"Mar 12, 2018",29.343
"Mar 13, 2018",29.186
"Mar 14, 2018",
"Mar 15, 2018",30.318
"Mar 16, 2018",30.077
"Mar 17, 2018",29.539
"Mar 18, 2018",31.341
"Mar 19, 2018",31.567
"Mar 20, 2018",32.434
"Mar 21, 2018",26.79
"Mar 22, 2018",32.525
"Mar 23, 2018",28.313
"Mar 24, 2018",33.442
"Mar 25, 2018",31.499
"Mar 26, 2018",33.076
"Mar 27, 2018",30.005
"Mar 28, 2018",28.056
"Mar 29, 2018",30.366
"Mar 30, 2018",
"Mar 31, 2018",24.167
"Apr 1, 2018",24.35
"Apr 2, 2018",26.857
"Apr 3, 2018",32.392
"Apr 4, 2018",32.538
"Apr 5, 2018",32.279
"Apr 6, 2018",26.186
"Apr 7, 2018",32.583
"Apr 8, 2018",
"Apr 9, 2018",31.327
"Apr 10, 2018",28.211
"Apr 11, 2018",29.348
"Apr 12, 2018",32.554
"Apr 13, 2018",30.973
"Apr 14, 2018",37.138
"Apr 15, 2018",29.122
"Apr 16, 2018",34.292
"Apr 17, 2018",
"Apr 18, 2018",31.104
"Apr 19, 2018",26.421
"Apr 20, 2018",29.957
"Apr 21, 2018",29.101
"Apr 22, 2018",
"Apr 23, 2018",35.919
"Apr 24, 2018",28.535
"Apr 25, 2018",33.714
"Apr 26, 2018",
"Apr 27, 2018",27.534
"Apr 28, 2018",25.649
"Apr 29, 2018",
"Apr 30, 2018",
"May 1, 2018",
"May 2, 2018",24.313
"May 3, 2018",27.114
"May 4, 2018",
"May 5, 2018",
"May 6, 2018",26.683
"May 7, 2018",
"May 8, 2018",
"May 9, 2018",30.779
"May 10, 2018",
"May 11, 2018",26.106
"May 12, 2018",24.615
"May 13, 2018",28.911
"May 14, 2018",23.823
"May 15, 2018",
"May 16, 2018",
"May 17, 2018",23.952
"May 18, 2018",30.956
"May 19, 2018",
"May 20, 2018",30.984
"May 21, 2018",
"May 22, 2018",
"May 23, 2018",28.462
"May 24, 2018",
"May 25, 2018",27.003
"May 26, 2018",
"May 27, 2018",29.093
"May 28, 2018",22.267
"May 29, 2018",26.741
"May 30, 2018",
"May 31, 2018",
"Jun 1, 2018",
"Jun 2, 2018",
"Jun 3, 2018",
"Jun 4, 2018",
"Jun 5, 2018",
"Jun 6, 2018",
"Jun 7, 2018",30.183
"Jun 8, 2018",
"Jun 9, 2018",
"Jun 10, 2018",
"Jun 11, 2018",
"Jun 12, 2018",
"Jun 13, 2018",
"Jun 14, 2018",
"Jun 15, 2018",26.225
"Jun 16, 2018",
"Jun 17, 2018",26.638
"Jun 18, 2018",
"Jun 19, 2018",
"Jun 20, 2018",
"Jun 21, 2018",31.325
"Jun 22, 2018",
"Jun 23, 2018",
"Jun 24, 2018",
"Jun 25, 2018",
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 28, 2018",
"Jun 29, 2018",
"Jun 30, 2018",
"Jul 1, 2018",
"Jul 2, 2018",
"Jul 3, 2018",
"Jul 4, 2018",
"Jul 5, 2018",
"Jul 6, 2018",
"Jul 7, 2018",
"Jul 8, 2018",
"Jul 9, 2018",
"Jul 10, 2018",
"Jul 11, 2018",
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 14, 2018",35.184
"Jul 15, 2018",
"Jul 16, 2018",
"Jul 17, 2018",
"Jul 18, 2018",
"Jul 19, 2018",
"Jul 20, 2018",
"Jul 21, 2018",
"Jul 22, 2018",
"Jul 23, 2018",
"Jul 24, 2018",
"Jul 25, 2018",
"Jul 26, 2018",
"Jul 27, 2018",
"Jul 28, 2018",
"Jul 29, 2018",
"Jul 30, 2018",
"Jul 31, 2018",
"Aug 1, 2018",
"Aug 2, 2018",
"Aug 3, 2018",
"Aug 4, 2018",
"Aug 5, 2018",
"Aug 6, 2018",
"Aug 7, 2018",
"Aug 8, 2018",
"Aug 9, 2018",
"Aug 10, 2018",
"Aug 11, 2018",
"Aug 12, 2018",
"Aug 13, 2018",
"Aug 14, 2018",
"Aug 15, 2018",29.467
"Aug 16, 2018",
"Aug 17, 2018",
"Aug 18, 2018",
"Aug 19, 2018",
"Aug 20, 2018",
"Aug 21, 2018",27.202
"Aug 22, 2018",
"Aug 23, 2018",
"Aug 24, 2018",
"Aug 25, 2018",
"Aug 26, 2018",
"Aug 27, 2018",
"Aug 28, 2018",
"Aug 29, 2018",29.141
"Aug 30, 2018",
"Aug 31, 2018",28.667
"Sep 1, 2018",
"Sep 2, 2018",29.272
"Sep 3, 2018",
"Sep 4, 2018",
"Sep 5, 2018",
"Sep 6, 2018",24.506
"Sep 7, 2018",28.301
"Sep 8, 2018",
"Sep 9, 2018",
"Sep 10, 2018",
"Sep 11, 2018",
"Sep 12, 2018",26.498
"Sep 13, 2018",
"Sep 14, 2018",27.542
"Sep 15, 2018",
"Sep 16, 2018",29.283
"Sep 17, 2018",25.764
"Sep 18, 2018",28.43
"Sep 19, 2018",26.777
"Sep 20, 2018",
"Sep 21, 2018",25.62
"Sep 22, 2018",
"Sep 23, 2018",29.444
"Sep 24, 2018",
"Sep 25, 2018",
"Sep 26, 2018",28.035
"Sep 27, 2018",28.481
"Sep 28, 2018",29.271
"Sep 29, 2018",26.733
"Sep 30, 2018",30.408
"Oct 1, 2018",26.375
"Oct 2, 2018",31.949
"Oct 3, 2018",26.261
"Oct 4, 2018",28.742
"Oct 5, 2018",28.177
"Oct 6, 2018",27.409
"Oct 7, 2018",29.02
"Oct 8, 2018",27.014
"Oct 9, 2018",29.78
"Oct 10, 2018",
"Oct 11, 2018",
"Oct 12, 2018",
"Oct 13, 2018",
"Oct 14, 2018",26.885
"Oct 15, 2018",28.011
"Oct 16, 2018",28.896
"Oct 17, 2018",24.545
"Oct 18, 2018",28.87
"Oct 19, 2018",
"Oct 20, 2018",27.307
"Oct 21, 2018",
"Oct 22, 2018",28.308
"Oct 23, 2018",28.729
"Oct 24, 2018",
"Oct 25, 2018",28.79
"Oct 26, 2018",25.378
"Oct 27, 2018",28.734
"Oct 28, 2018",
"Oct 29, 2018",26.857
"Oct 30, 2018",28.935
"Oct 31, 2018",27.432
"Nov 1, 2018",29.901
"Nov 2, 2018",27.147
"Nov 3, 2018",29.353
"Nov 4, 2018",28.314
"Nov 5, 2018",28.098
"Nov 6, 2018",29.453
"Nov 7, 2018",25.27
"Nov 8, 2018",27.896
"Nov 9, 2018",
"Nov 10, 2018",28.031
"Nov 11, 2018",27.507
"Nov 12, 2018",28.532
"Nov 13, 2018",27.291
"Nov 14, 2018",25.24
"Nov 15, 2018",28.469
"Nov 16, 2018",
"Nov 17, 2018",28.603
"Nov 18, 2018",
"Nov 19, 2018",26.957
"Nov 20, 2018",
"Nov 21, 2018",24.895
"Nov 22, 2018",27.331
"Nov 23, 2018",26.186
"Nov 24, 2018",28.207
"Nov 25, 2018",24.612
"Nov 26, 2018",28.149
"Nov 27, 2018",28.373
"Nov 28, 2018",26.439
"Nov 29, 2018",27.86
"Nov 30, 2018",26.806
"Dec 1, 2018",28.089
"Dec 2, 2018",24.449
"Dec 3, 2018",25.022
"Dec 4, 2018",
"Dec 5, 2018",16.319
"Dec 6, 2018",24.34
"Dec 7, 2018",23.458
"Dec 8, 2018",24.209
"Dec 9, 2018",24.209
"Dec 10, 2018",27.263
"Dec 11, 2018",
"Dec 12, 2018",26.719
"Dec 13, 2018",27.359
"Dec 14, 2018",27.196
"Dec 15, 2018",26.424
"Dec 16, 2018",
"Dec 17, 2018",
"Dec 18, 2018",
"Dec 19, 2018",20.523
"Dec 20, 2018",
"Dec 21, 2018",21.365
"Dec 22, 2018",23.161
"Dec 23, 2018",22.401
"Dec 24, 2018",22.85
"Dec 25, 2018",20.52
"Dec 26, 2018",21.644
"Dec 27, 2018",19.664
"Dec 28, 2018",20.772
"Dec 29, 2018",20.541
"Dec 30, 2018",21.945
"Dec 31, 2018",23.844
"Jan 1, 2019",22.732
"Jan 2, 2019",24.927
"Jan 3, 2019",18.976
"Jan 4, 2019",20.025
"Jan 5, 2019",15.808
"Jan 6, 2019",24.271
"Jan 7, 2019",25.005
"Jan 8, 2019",21.39
"Jan 9, 2019",21.688
"Jan 10, 2019",19.738
"Jan 11, 2019",23.283
"Jan 12, 2019",
"Jan 13, 2019",25.448
"Jan 14, 2019",
"Jan 15, 2019",22.67
"Jan 16, 2019",22.91
"Jan 17, 2019",20.662
"Jan 18, 2019",22.281
"Jan 19, 2019",
"Jan 20, 2019",22.069
"Jan 21, 2019",
"Jan 22, 2019",25.201
"Jan 23, 2019",24.297
"Jan 24, 2019",18.966
"Jan 25, 2019",
"Jan 26, 2019",25.314
"Jan 27, 2019",25.838
