system:time_start,LST
"Jan 1, 2018",24.678
"Jan 2, 2018",
"Jan 3, 2018",21.807
"Jan 4, 2018",20.66
"Jan 5, 2018",19.924
"Jan 6, 2018",22.679
"Jan 7, 2018",20.339
"Jan 8, 2018",19.839
"Jan 9, 2018",
"Jan 10, 2018",21.249
"Jan 11, 2018",
"Jan 12, 2018",19.423
"Jan 13, 2018",
"Jan 14, 2018",19.438
"Jan 15, 2018",21.644
"Jan 16, 2018",20.832
"Jan 17, 2018",22.443
"Jan 18, 2018",20.145
"Jan 19, 2018",22.768
"Jan 20, 2018",23.595
"Jan 21, 2018",23.871
"Jan 22, 2018",23.638
"Jan 23, 2018",24.137
"Jan 24, 2018",25.025
"Jan 25, 2018",
"Jan 26, 2018",24.489
"Jan 27, 2018",22.755
"Jan 28, 2018",24.285
"Jan 29, 2018",24.532
"Jan 30, 2018",24.345
"Jan 31, 2018",24.822
"Feb 1, 2018",22.246
"Feb 2, 2018",24.737
"Feb 3, 2018",
"Feb 4, 2018",26.081
"Feb 5, 2018",
"Feb 6, 2018",24.998
"Feb 7, 2018",26.64
"Feb 8, 2018",
"Feb 9, 2018",
"Feb 10, 2018",
"Feb 11, 2018",21.235
"Feb 12, 2018",26.112
"Feb 13, 2018",20.593
"Feb 14, 2018",25.223
"Feb 15, 2018",26.717
"Feb 16, 2018",27.284
"Feb 17, 2018",25.559
"Feb 18, 2018",27.962
"Feb 19, 2018",24.24
"Feb 20, 2018",25.379
"Feb 21, 2018",27.04
"Feb 22, 2018",28.018
"Feb 23, 2018",29.144
"Feb 24, 2018",28.373
"Feb 25, 2018",30.456
"Feb 26, 2018",28.955
"Feb 27, 2018",30.546
"Feb 28, 2018",29.514
"Mar 1, 2018",30.619
"Mar 2, 2018",29.041
"Mar 3, 2018",31.809
"Mar 4, 2018",33.882
"Mar 5, 2018",29.32
"Mar 6, 2018",31.725
"Mar 7, 2018",29.655
"Mar 8, 2018",33.583
"Mar 9, 2018",31.056
"Mar 10, 2018",34.449
"Mar 11, 2018",34.667
"Mar 12, 2018",30.796
"Mar 13, 2018",34.096
"Mar 14, 2018",33.277
"Mar 15, 2018",33.424
"Mar 16, 2018",
"Mar 17, 2018",33.185
"Mar 18, 2018",30.111
"Mar 19, 2018",33.773
"Mar 20, 2018",34.501
"Mar 21, 2018",33.436
"Mar 22, 2018",33.511
"Mar 23, 2018",
"Mar 24, 2018",32.284
"Mar 25, 2018",
"Mar 26, 2018",30.673
"Mar 27, 2018",32.354
"Mar 28, 2018",31.523
"Mar 29, 2018",33.916
"Mar 30, 2018",25.099
"Mar 31, 2018",28.571
"Apr 1, 2018",
"Apr 2, 2018",
"Apr 3, 2018",30.201
"Apr 4, 2018",31.761
"Apr 5, 2018",33.378
"Apr 6, 2018",27.606
"Apr 7, 2018",
"Apr 8, 2018",25.281
"Apr 9, 2018",30.508
"Apr 10, 2018",30.35
"Apr 11, 2018",30.124
"Apr 12, 2018",28.951
"Apr 13, 2018",27.588
"Apr 14, 2018",33.62
"Apr 15, 2018",29.854
"Apr 16, 2018",34.379
"Apr 17, 2018",29.059
"Apr 18, 2018",29.833
"Apr 19, 2018",30.519
"Apr 20, 2018",31.434
"Apr 21, 2018",30.276
"Apr 22, 2018",
"Apr 23, 2018",30.758
"Apr 24, 2018",27.827
"Apr 25, 2018",33.96
"Apr 26, 2018",25.752
"Apr 27, 2018",29.297
"Apr 28, 2018",29.26
"Apr 29, 2018",27.524
"Apr 30, 2018",22.511
"May 1, 2018",
"May 2, 2018",30.071
"May 3, 2018",21.07
"May 4, 2018",31.12
"May 5, 2018",29.021
"May 6, 2018",29.133
"May 7, 2018",28.813
"May 8, 2018",29.899
"May 9, 2018",32.616
"May 10, 2018",
"May 11, 2018",34.289
"May 12, 2018",27.238
"May 13, 2018",31.206
"May 14, 2018",27.64
"May 15, 2018",26.32
"May 16, 2018",26.59
"May 17, 2018",19.729
"May 18, 2018",31.617
"May 19, 2018",24.863
"May 20, 2018",
"May 21, 2018",30.651
"May 22, 2018",28.201
"May 23, 2018",29.095
"May 24, 2018",
"May 25, 2018",30.332
"May 26, 2018",
"May 27, 2018",32.567
"May 28, 2018",
"May 29, 2018",28.655
"May 30, 2018",
"May 31, 2018",
"Jun 1, 2018",20.459
"Jun 2, 2018",23.571
"Jun 3, 2018",32.273
"Jun 4, 2018",
"Jun 5, 2018",31.121
"Jun 6, 2018",
"Jun 7, 2018",31.188
"Jun 8, 2018",28.256
"Jun 9, 2018",
"Jun 10, 2018",
"Jun 11, 2018",
"Jun 12, 2018",31.443
"Jun 13, 2018",23.531
"Jun 14, 2018",26.187
"Jun 15, 2018",30.798
"Jun 16, 2018",31.731
"Jun 17, 2018",29.669
"Jun 18, 2018",27.512
"Jun 19, 2018",38.13
"Jun 20, 2018",
"Jun 21, 2018",30.323
"Jun 22, 2018",32.6
"Jun 23, 2018",
"Jun 24, 2018",
"Jun 25, 2018",
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 28, 2018",25.516
"Jun 29, 2018",27.957
"Jun 30, 2018",29.405
"Jul 1, 2018",
"Jul 2, 2018",26.096
"Jul 3, 2018",
"Jul 4, 2018",
"Jul 5, 2018",
"Jul 6, 2018",
"Jul 7, 2018",28.574
"Jul 8, 2018",
"Jul 9, 2018",27.319
"Jul 10, 2018",
"Jul 11, 2018",28.13
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 14, 2018",30.147
"Jul 15, 2018",
"Jul 16, 2018",26.546
"Jul 17, 2018",24.41
"Jul 18, 2018",22.859
"Jul 19, 2018",30.492
"Jul 20, 2018",
"Jul 21, 2018",
"Jul 22, 2018",
"Jul 23, 2018",
"Jul 24, 2018",
"Jul 25, 2018",
"Jul 26, 2018",
"Jul 27, 2018",
"Jul 28, 2018",
"Jul 29, 2018",
"Jul 30, 2018",
"Jul 31, 2018",
"Aug 1, 2018",
"Aug 2, 2018",
"Aug 3, 2018",
"Aug 4, 2018",
"Aug 5, 2018",
"Aug 6, 2018",
"Aug 7, 2018",
"Aug 8, 2018",26.872
"Aug 9, 2018",
"Aug 10, 2018",
"Aug 11, 2018",
"Aug 12, 2018",
"Aug 13, 2018",
"Aug 14, 2018",
"Aug 15, 2018",
"Aug 16, 2018",
"Aug 17, 2018",14.568
"Aug 18, 2018",
"Aug 19, 2018",
"Aug 20, 2018",
"Aug 21, 2018",
"Aug 22, 2018",
"Aug 23, 2018",
"Aug 24, 2018",
"Aug 25, 2018",
"Aug 26, 2018",27.984
"Aug 27, 2018",
"Aug 28, 2018",
"Aug 29, 2018",29.125
"Aug 30, 2018",
"Aug 31, 2018",
"Sep 1, 2018",31.526
"Sep 2, 2018",
"Sep 3, 2018",27.024
"Sep 4, 2018",
"Sep 5, 2018",26.909
"Sep 6, 2018",25.131
"Sep 7, 2018",26.289
"Sep 8, 2018",
"Sep 9, 2018",29.636
"Sep 10, 2018",
"Sep 11, 2018",
"Sep 12, 2018",
"Sep 13, 2018",
"Sep 14, 2018",28.374
"Sep 15, 2018",
"Sep 16, 2018",28.736
"Sep 17, 2018",26.489
"Sep 18, 2018",30.45
"Sep 19, 2018",30.373
"Sep 20, 2018",
"Sep 21, 2018",
"Sep 22, 2018",
"Sep 23, 2018",30.221
"Sep 24, 2018",
"Sep 25, 2018",29.446
"Sep 26, 2018",
"Sep 27, 2018",28.343
"Sep 28, 2018",29.42
"Sep 29, 2018",27.473
"Sep 30, 2018",32.199
"Oct 1, 2018",29.498
"Oct 2, 2018",32.302
"Oct 3, 2018",29.425
"Oct 4, 2018",31.554
"Oct 5, 2018",30.224
"Oct 6, 2018",30.054
"Oct 7, 2018",31.615
"Oct 8, 2018",28.986
"Oct 9, 2018",32.376
"Oct 10, 2018",
"Oct 11, 2018",
"Oct 12, 2018",
"Oct 13, 2018",
"Oct 14, 2018",25.823
"Oct 15, 2018",28.102
"Oct 16, 2018",28.306
"Oct 17, 2018",26.441
"Oct 18, 2018",30.256
"Oct 19, 2018",28.653
"Oct 20, 2018",30.777
"Oct 21, 2018",29.958
"Oct 22, 2018",29.489
"Oct 23, 2018",30.348
"Oct 24, 2018",
"Oct 25, 2018",29.652
"Oct 26, 2018",27.249
"Oct 27, 2018",29.108
"Oct 28, 2018",25.645
"Oct 29, 2018",
"Oct 30, 2018",
"Oct 31, 2018",24.999
"Nov 1, 2018",28.216
"Nov 2, 2018",26.412
"Nov 3, 2018",30.384
"Nov 4, 2018",27.343
"Nov 5, 2018",29.426
"Nov 6, 2018",30.156
"Nov 7, 2018",
"Nov 8, 2018",28.401
"Nov 9, 2018",
"Nov 10, 2018",28.281
"Nov 11, 2018",28.284
"Nov 12, 2018",27.376
"Nov 13, 2018",28.825
"Nov 14, 2018",26.687
"Nov 15, 2018",29.92
"Nov 16, 2018",28.594
"Nov 17, 2018",28.392
"Nov 18, 2018",
"Nov 19, 2018",28.559
"Nov 20, 2018",
