system:time_start,LST
"Jan 1, 2018",26.888
"Jan 2, 2018",23.48
"Jan 3, 2018",24.701
"Jan 4, 2018",
"Jan 5, 2018",21.994
"Jan 6, 2018",23.384
"Jan 7, 2018",23.496
"Jan 8, 2018",22.236
"Jan 9, 2018",
"Jan 10, 2018",23.898
"Jan 11, 2018",
"Jan 12, 2018",21.397
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",22.224
"Jan 16, 2018",22.889
"Jan 17, 2018",24.43
"Jan 18, 2018",
"Jan 19, 2018",24.824
"Jan 20, 2018",
"Jan 21, 2018",26.523
"Jan 22, 2018",25.531
"Jan 23, 2018",27.063
"Jan 24, 2018",27.438
"Jan 25, 2018",
"Jan 26, 2018",27.386
"Jan 27, 2018",
"Jan 28, 2018",27.65
"Jan 29, 2018",26.365
"Jan 30, 2018",28.054
"Jan 31, 2018",27.58
"Feb 1, 2018",26.036
"Feb 2, 2018",27.888
"Feb 3, 2018",
"Feb 4, 2018",30.041
"Feb 5, 2018",
"Feb 6, 2018",27.997
"Feb 7, 2018",28.436
"Feb 8, 2018",
"Feb 9, 2018",25.67
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018",
"Feb 13, 2018",20.432
"Feb 14, 2018",26.373
"Feb 15, 2018",31.253
"Feb 16, 2018",30.509
"Feb 17, 2018",30.38
"Feb 18, 2018",31.536
"Feb 19, 2018",26.273
"Feb 20, 2018",30.686
"Feb 21, 2018",28.812
"Feb 22, 2018",32.028
"Feb 23, 2018",32.327
"Feb 24, 2018",32.759
"Feb 25, 2018",34.198
"Feb 26, 2018",30.597
"Feb 27, 2018",33.854
"Feb 28, 2018",
"Mar 1, 2018",35.055
"Mar 2, 2018",29.479
"Mar 3, 2018",34.794
"Mar 4, 2018",36.297
"Mar 5, 2018",31.504
"Mar 6, 2018",35.081
"Mar 7, 2018",33.083
"Mar 8, 2018",37.387
"Mar 9, 2018",32.373
"Mar 10, 2018",39.517
"Mar 11, 2018",36.206
"Mar 12, 2018",35.143
"Mar 13, 2018",37.467
"Mar 14, 2018",37.039
"Mar 15, 2018",36.006
"Mar 16, 2018",
"Mar 17, 2018",36.536
"Mar 18, 2018",32.246
"Mar 19, 2018",38.949
"Mar 20, 2018",36.482
"Mar 21, 2018",35.979
"Mar 22, 2018",35.709
"Mar 23, 2018",
"Mar 24, 2018",34.257
"Mar 25, 2018",
"Mar 26, 2018",
"Mar 27, 2018",34.017
"Mar 28, 2018",33.945
"Mar 29, 2018",34.61
"Mar 30, 2018",
"Mar 31, 2018",28.435
"Apr 1, 2018",
"Apr 2, 2018",
"Apr 3, 2018",32.699
"Apr 4, 2018",37.221
"Apr 5, 2018",35.923
"Apr 6, 2018",31.59
"Apr 7, 2018",
"Apr 8, 2018",34.002
"Apr 9, 2018",34.204
"Apr 10, 2018",
