system:time_start,LST
"Jan 1, 2009",22.274
"Jan 2, 2009",
"Jan 3, 2009",22.283
"Jan 4, 2009",22.019
"Jan 5, 2009",20.525
"Jan 6, 2009",22.05
"Jan 7, 2009",
"Jan 8, 2009",23.375
"Jan 9, 2009",
"Jan 10, 2009",24.906
"Jan 11, 2009",
"Jan 12, 2009",23.561
"Jan 13, 2009",24.038
"Jan 14, 2009",22.753
"Jan 15, 2009",23.606
"Jan 16, 2009",
"Jan 17, 2009",23.765
"Jan 18, 2009",
"Jan 19, 2009",25.284
"Jan 20, 2009",25.086
"Jan 21, 2009",23.8
"Jan 22, 2009",23.694
"Jan 23, 2009",22.567
"Jan 24, 2009",23.106
"Jan 25, 2009",22.909
"Jan 26, 2009",27.323
"Jan 27, 2009",25.354
"Jan 28, 2009",26.072
"Jan 29, 2009",24.993
"Jan 30, 2009",24.979
"Jan 31, 2009",25.58
"Feb 1, 2009",23.023
"Feb 2, 2009",24.552
"Feb 3, 2009",
"Feb 4, 2009",25.954
"Feb 5, 2009",26.885
"Feb 6, 2009",26.635
"Feb 7, 2009",28.128
"Feb 8, 2009",25.978
"Feb 9, 2009",26.547
"Feb 10, 2009",23.904
"Feb 11, 2009",28.655
"Feb 12, 2009",22.923
"Feb 13, 2009",26.067
"Feb 14, 2009",27.918
"Feb 15, 2009",27.77
"Feb 16, 2009",28.843
"Feb 17, 2009",26.431
"Feb 18, 2009",28.395
"Feb 19, 2009",
"Feb 20, 2009",28.932
"Feb 21, 2009",29.017
"Feb 22, 2009",30.462
"Feb 23, 2009",31
"Feb 24, 2009",27.504
"Feb 25, 2009",32.297
"Feb 26, 2009",27.878
"Feb 27, 2009",30.83
"Feb 28, 2009",28.001
"Mar 1, 2009",29.449
"Mar 2, 2009",28.988
"Mar 3, 2009",27.657
"Mar 4, 2009",31.347
"Mar 5, 2009",29.598
"Mar 6, 2009",32.798
"Mar 7, 2009",
"Mar 8, 2009",32.767
"Mar 9, 2009",28.599
"Mar 10, 2009",30.056
"Mar 11, 2009",29.241
"Mar 12, 2009",28.25
"Mar 13, 2009",27.048
"Mar 14, 2009",25.768
"Mar 15, 2009",25.034
"Mar 16, 2009",
"Mar 17, 2009",30.668
"Mar 18, 2009",28.859
"Mar 19, 2009",29.254
"Mar 20, 2009",30.955
"Mar 21, 2009",30.036
"Mar 22, 2009",29.192
"Mar 23, 2009",
"Mar 24, 2009",33.851
"Mar 25, 2009",31.177
"Mar 26, 2009",28.494
"Mar 27, 2009",29.051
"Mar 28, 2009",30.227
"Mar 29, 2009",32.529
"Mar 30, 2009",
"Mar 31, 2009",28.976
"Apr 1, 2009",26.998
"Apr 2, 2009",31.42
"Apr 3, 2009",30.43
"Apr 4, 2009",31.937
"Apr 5, 2009",31.47
"Apr 6, 2009",29.394
"Apr 7, 2009",34.71
"Apr 8, 2009",
"Apr 9, 2009",33.29
"Apr 10, 2009",31.852
"Apr 11, 2009",34.728
"Apr 12, 2009",34.496
"Apr 13, 2009",33.641
"Apr 14, 2009",35.505
"Apr 15, 2009",28.553
"Apr 16, 2009",33.3
"Apr 17, 2009",
"Apr 18, 2009",35.946
"Apr 19, 2009",33.849
"Apr 20, 2009",31.932
"Apr 21, 2009",35.436
"Apr 22, 2009",28.462
"Apr 23, 2009",35.456
"Apr 24, 2009",
"Apr 25, 2009",36.965
"Apr 26, 2009",34.052
"Apr 27, 2009",36.41
"Apr 28, 2009",33.823
"Apr 29, 2009",29.343
"Apr 30, 2009",31.944
"May 1, 2009",
"May 2, 2009",30.358
"May 3, 2009",24.16
"May 4, 2009",29.778
"May 5, 2009",
"May 6, 2009",30.625
"May 7, 2009",33.221
"May 8, 2009",34.334
"May 9, 2009",38.52
"May 10, 2009",
"May 11, 2009",30.287
"May 12, 2009",
"May 13, 2009",29.703
"May 14, 2009",28.66
"May 15, 2009",26.555
"May 16, 2009",28.595
"May 17, 2009",
"May 18, 2009",29.683
"May 19, 2009",22.716
"May 20, 2009",31.082
"May 21, 2009",29.518
"May 22, 2009",32.209
"May 23, 2009",32.293
"May 24, 2009",
"May 25, 2009",
"May 26, 2009",
"May 27, 2009",29.812
"May 28, 2009",
"May 29, 2009",
"May 30, 2009",28.579
"May 31, 2009",27.273
"Jun 1, 2009",
"Jun 2, 2009",25.727
"Jun 3, 2009",30.806
"Jun 4, 2009",23.256
"Jun 5, 2009",29.946
"Jun 6, 2009",29.225
"Jun 7, 2009",30.239
"Jun 8, 2009",29.477
"Jun 9, 2009",28.505
"Jun 10, 2009",29.525
"Jun 11, 2009",
"Jun 12, 2009",30.89
"Jun 13, 2009",
"Jun 14, 2009",29.77
"Jun 15, 2009",28.916
"Jun 16, 2009",28.069
"Jun 17, 2009",30.915
"Jun 18, 2009",26.701
"Jun 19, 2009",31.291
"Jun 20, 2009",
"Jun 21, 2009",30.419
"Jun 22, 2009",
"Jun 23, 2009",28.553
"Jun 24, 2009",30.475
"Jun 25, 2009",30.007
"Jun 26, 2009",26.981
"Jun 27, 2009",
"Jun 28, 2009",
"Jun 29, 2009",
"Jun 30, 2009",
"Jul 1, 2009",
"Jul 2, 2009",
"Jul 3, 2009",
"Jul 4, 2009",
"Jul 5, 2009",28.38
"Jul 6, 2009",
"Jul 7, 2009",
"Jul 8, 2009",24.637
"Jul 9, 2009",
"Jul 10, 2009",
"Jul 11, 2009",
"Jul 12, 2009",28.506
"Jul 13, 2009",
"Jul 14, 2009",28.016
"Jul 15, 2009",
"Jul 16, 2009",
"Jul 17, 2009",26.424
"Jul 18, 2009",25.174
"Jul 19, 2009",29.449
"Jul 20, 2009",
"Jul 21, 2009",27.859
"Jul 22, 2009",
