system:time_start,LST
"Jan 1, 2020",
"Jan 2, 2020",16.386
"Jan 3, 2020",
"Jan 4, 2020",19.684
"Jan 5, 2020",20.177
"Jan 6, 2020",20.386
"Jan 7, 2020",19.824
"Jan 8, 2020",
"Jan 9, 2020",21.295
"Jan 10, 2020",19.42
"Jan 11, 2020",19.927
"Jan 12, 2020",20.572
"Jan 13, 2020",20.94
"Jan 14, 2020",22.619
"Jan 15, 2020",20.941
"Jan 16, 2020",24.616
"Jan 17, 2020",
"Jan 18, 2020",25.691
"Jan 19, 2020",24.665
"Jan 20, 2020",19.836
"Jan 21, 2020",22.48
"Jan 22, 2020",21.182
"Jan 23, 2020",19.95
"Jan 24, 2020",15.657
"Jan 25, 2020",22.635
"Jan 26, 2020",21.698
"Jan 27, 2020",22.031
"Jan 28, 2020",
"Jan 29, 2020",
"Jan 30, 2020",
"Jan 31, 2020",
"Feb 1, 2020",23.411
"Feb 2, 2020",
"Feb 3, 2020",23.01
"Feb 4, 2020",23.262
"Feb 5, 2020",22.463
"Feb 6, 2020",23.892
"Feb 7, 2020",19.38
"Feb 8, 2020",
"Feb 9, 2020",
"Feb 10, 2020",23.742
"Feb 11, 2020",24.062
"Feb 12, 2020",24.391
"Feb 13, 2020",25.146
"Feb 14, 2020",24.701
"Feb 15, 2020",27.128
"Feb 16, 2020",24.146
"Feb 17, 2020",27.114
"Feb 18, 2020",
"Feb 19, 2020",25.863
"Feb 20, 2020",24.973
"Feb 21, 2020",27.722
"Feb 22, 2020",28.825
"Feb 23, 2020",26.067
"Feb 24, 2020",24.863
"Feb 25, 2020",
"Feb 26, 2020",25.622
"Feb 27, 2020",
"Feb 28, 2020",27.342
"Feb 29, 2020",28.728
"Mar 1, 2020",27.892
"Mar 2, 2020",28.663
"Mar 3, 2020",
"Mar 4, 2020",25.878
"Mar 5, 2020",
"Mar 6, 2020",26.435
"Mar 7, 2020",23.872
"Mar 8, 2020",26.734
"Mar 9, 2020",28.65
"Mar 10, 2020",28.788
"Mar 11, 2020",30.188
"Mar 12, 2020",26.254
"Mar 13, 2020",33.193
"Mar 14, 2020",26.324
"Mar 15, 2020",29.704
"Mar 16, 2020",27.814
"Mar 17, 2020",28.942
"Mar 18, 2020",29.075
"Mar 19, 2020",24.999
"Mar 20, 2020",30.724
"Mar 21, 2020",
"Mar 22, 2020",27.626
"Mar 23, 2020",26.929
"Mar 24, 2020",30.403
"Mar 25, 2020",31.427
"Mar 26, 2020",32.838
"Mar 27, 2020",35.286
"Mar 28, 2020",28.607
"Mar 29, 2020",34.781
"Mar 30, 2020",32.11
"Mar 31, 2020",36.443
"Apr 1, 2020",33.422
"Apr 2, 2020",32.431
"Apr 3, 2020",32.788
"Apr 4, 2020",32.265
"Apr 5, 2020",33.455
"Apr 6, 2020",
"Apr 7, 2020",35.562
"Apr 8, 2020",
"Apr 9, 2020",32.016
"Apr 10, 2020",34.241
"Apr 11, 2020",32.028
"Apr 12, 2020",31.301
"Apr 13, 2020",22.875
"Apr 14, 2020",34.377
"Apr 15, 2020",
"Apr 16, 2020",27.997
"Apr 17, 2020",32.063
"Apr 18, 2020",28.822
"Apr 19, 2020",32.824
"Apr 20, 2020",
"Apr 21, 2020",
"Apr 22, 2020",
"Apr 23, 2020",32.222
"Apr 24, 2020",
"Apr 25, 2020",28.882
"Apr 26, 2020",26.697
"Apr 27, 2020",
"Apr 28, 2020",25.615
"Apr 29, 2020",24.446
"Apr 30, 2020",32.261
"May 1, 2020",26.473
"May 2, 2020",29.016
"May 3, 2020",26.446
"May 4, 2020",28.727
"May 5, 2020",29.721
"May 6, 2020",
"May 7, 2020",31.505
"May 8, 2020",
"May 9, 2020",34.871
"May 10, 2020",28.62
"May 11, 2020",29.532
"May 12, 2020",33.058
"May 13, 2020",32.157
"May 14, 2020",33.994
"May 15, 2020",27.716
"May 16, 2020",33.919
"May 17, 2020",27.445
"May 18, 2020",33.002
"May 19, 2020",
"May 20, 2020",
"May 21, 2020",
"May 22, 2020",26.436
"May 23, 2020",30.412
"May 24, 2020",
"May 25, 2020",
"May 26, 2020",
"May 27, 2020",19.845
"May 28, 2020",
"May 29, 2020",26.129
"May 30, 2020",29.858
"May 31, 2020",
"Jun 1, 2020",30.203
"Jun 2, 2020",27.857
"Jun 3, 2020",31.857
"Jun 4, 2020",26.87
"Jun 5, 2020",27.572
"Jun 6, 2020",29.643
"Jun 7, 2020",29.275
"Jun 8, 2020",33.486
"Jun 9, 2020",
"Jun 10, 2020",30.912
"Jun 11, 2020",
"Jun 12, 2020",
"Jun 13, 2020",
"Jun 14, 2020",
"Jun 15, 2020",8.42
"Jun 16, 2020",
"Jun 17, 2020",
"Jun 18, 2020",
"Jun 19, 2020",27.762
"Jun 20, 2020",25.758
"Jun 21, 2020",27.657
"Jun 22, 2020",28.219
"Jun 23, 2020",
"Jun 24, 2020",32.041
"Jun 25, 2020",
"Jun 26, 2020",
"Jun 27, 2020",
"Jun 28, 2020",27.068
"Jun 29, 2020",
"Jun 30, 2020",
"Jul 1, 2020",31.605
"Jul 2, 2020",
"Jul 3, 2020",
"Jul 4, 2020",
"Jul 5, 2020",27.502
"Jul 6, 2020",
"Jul 7, 2020",
"Jul 8, 2020",
"Jul 9, 2020",
"Jul 10, 2020",
"Jul 11, 2020",
"Jul 12, 2020",
"Jul 13, 2020",
"Jul 14, 2020",28.724
"Jul 15, 2020",22.045
"Jul 16, 2020",25.344
"Jul 17, 2020",30.046
"Jul 18, 2020",
"Jul 19, 2020",
"Jul 20, 2020",
"Jul 21, 2020",
"Jul 22, 2020",
"Jul 23, 2020",
"Jul 24, 2020",
"Jul 25, 2020",
"Jul 26, 2020",30.95
"Jul 27, 2020",
"Jul 28, 2020",
"Jul 29, 2020",
"Jul 30, 2020",
"Jul 31, 2020",29.639
