system:time_start,LST
"Jan 1, 2018",25.359
"Jan 2, 2018",22.546
"Jan 3, 2018",23.459
"Jan 4, 2018",24.147
"Jan 5, 2018",22.663
"Jan 6, 2018",24.848
"Jan 7, 2018",23.153
"Jan 8, 2018",23.269
"Jan 9, 2018",
"Jan 10, 2018",23.832
"Jan 11, 2018",23.836
"Jan 12, 2018",22.959
"Jan 13, 2018",23.537
"Jan 14, 2018",23.242
"Jan 15, 2018",24.85
"Jan 16, 2018",21.709
"Jan 17, 2018",24.785
"Jan 18, 2018",25.703
"Jan 19, 2018",26.324
"Jan 20, 2018",27.007
"Jan 21, 2018",25.714
"Jan 22, 2018",26.679
"Jan 23, 2018",24.467
"Jan 24, 2018",27.107
"Jan 25, 2018",
"Jan 26, 2018",26.328
"Jan 27, 2018",25.379
"Jan 28, 2018",27.611
"Jan 29, 2018",28.142
"Jan 30, 2018",27.334
"Jan 31, 2018",28.58
"Feb 1, 2018",22.402
"Feb 2, 2018",29.252
"Feb 3, 2018",27.581
"Feb 4, 2018",29.5
"Feb 5, 2018",26.725
"Feb 6, 2018",26.657
"Feb 7, 2018",29.247
"Feb 8, 2018",24.889
"Feb 9, 2018",27.983
"Feb 10, 2018",
"Feb 11, 2018",25.198
"Feb 12, 2018",29.562
"Feb 13, 2018",20.649
"Feb 14, 2018",30.133
"Feb 15, 2018",30.211
"Feb 16, 2018",31.68
"Feb 17, 2018",27.16
"Feb 18, 2018",31.702
"Feb 19, 2018",28.932
"Feb 20, 2018",29.512
"Feb 21, 2018",31.468
"Feb 22, 2018",31.533
"Feb 23, 2018",34.81
"Feb 24, 2018",32.319
"Feb 25, 2018",33.6
"Feb 26, 2018",29.587
"Feb 27, 2018",36.724
"Feb 28, 2018",33.026
"Mar 1, 2018",35.82
"Mar 2, 2018",36.89
"Mar 3, 2018",35.798
"Mar 4, 2018",39.384
"Mar 5, 2018",30.218
"Mar 6, 2018",35.454
"Mar 7, 2018",36.412
"Mar 8, 2018",36.934
"Mar 9, 2018",37.24
"Mar 10, 2018",38.785
"Mar 11, 2018",39.566
"Mar 12, 2018",33.84
"Mar 13, 2018",40.681
"Mar 14, 2018",35.442
"Mar 15, 2018",35.949
"Mar 16, 2018",33.922
"Mar 17, 2018",37.083
"Mar 18, 2018",36.868
"Mar 19, 2018",38.947
"Mar 20, 2018",40.967
"Mar 21, 2018",36.063
"Mar 22, 2018",39.942
"Mar 23, 2018",35.443
"Mar 24, 2018",36.918
"Mar 25, 2018",34.851
"Mar 26, 2018",38.083
"Mar 27, 2018",41.084
"Mar 28, 2018",38.045
"Mar 29, 2018",43.73
"Mar 30, 2018",37.368
"Mar 31, 2018",36.208
"Apr 1, 2018",31.577
"Apr 2, 2018",29.908
"Apr 3, 2018",34.539
"Apr 4, 2018",34.855
"Apr 5, 2018",38.137
"Apr 6, 2018",27.988
"Apr 7, 2018",33.072
"Apr 8, 2018",29.937
"Apr 9, 2018",34.086
"Apr 10, 2018",33.303
"Apr 11, 2018",32.254
"Apr 12, 2018",32.266
"Apr 13, 2018",32.356
"Apr 14, 2018",38.306
"Apr 15, 2018",33.245
"Apr 16, 2018",41.077
"Apr 17, 2018",36.425
"Apr 18, 2018",35.449
"Apr 19, 2018",38.015
"Apr 20, 2018",35.9
"Apr 21, 2018",41.638
"Apr 22, 2018",27.823
"Apr 23, 2018",38.182
"Apr 24, 2018",36.004
"Apr 25, 2018",43.289
"Apr 26, 2018",37.193
"Apr 27, 2018",32.759
"Apr 28, 2018",33.556
"Apr 29, 2018",30.38
"Apr 30, 2018",31.102
"May 1, 2018",27.993
"May 2, 2018",36.451
"May 3, 2018",
"May 4, 2018",31.876
"May 5, 2018",33.232
"May 6, 2018",33.963
"May 7, 2018",38.28
"May 8, 2018",33.982
"May 9, 2018",38.876
"May 10, 2018",
"May 11, 2018",39.533
"May 12, 2018",34.624
"May 13, 2018",32.948
"May 14, 2018",34.251
"May 15, 2018",27.71
"May 16, 2018",32.326
"May 17, 2018",
"May 18, 2018",34.402
"May 19, 2018",29.378
"May 20, 2018",31.098
"May 21, 2018",33.931
"May 22, 2018",31.913
"May 23, 2018",
"May 24, 2018",28.727
"May 25, 2018",36.028
"May 26, 2018",29.991
"May 27, 2018",35.659
"May 28, 2018",32.071
"May 29, 2018",
"May 30, 2018",
"May 31, 2018",35.266
"Jun 1, 2018",37.11
"Jun 2, 2018",
"Jun 3, 2018",34.752
"Jun 4, 2018",
"Jun 5, 2018",32.225
"Jun 6, 2018",30.045
"Jun 7, 2018",33.1
"Jun 8, 2018",
"Jun 9, 2018",
"Jun 10, 2018",
"Jun 11, 2018",
"Jun 12, 2018",
"Jun 13, 2018",
"Jun 14, 2018",
"Jun 15, 2018",33.099
"Jun 16, 2018",
"Jun 17, 2018",35.259
"Jun 18, 2018",31.099
"Jun 19, 2018",39.284
"Jun 20, 2018",39.278
"Jun 21, 2018",
"Jun 22, 2018",33.802
"Jun 23, 2018",33.404
"Jun 24, 2018",
"Jun 25, 2018",
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 28, 2018",25.23
"Jun 29, 2018",29.078
"Jun 30, 2018",30.671
"Jul 1, 2018",
"Jul 2, 2018",
"Jul 3, 2018",
"Jul 4, 2018",
"Jul 5, 2018",
"Jul 6, 2018",
"Jul 7, 2018",29.105
"Jul 8, 2018",
"Jul 9, 2018",
"Jul 10, 2018",
"Jul 11, 2018",
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 14, 2018",29.9
"Jul 15, 2018",
"Jul 16, 2018",
"Jul 17, 2018",
"Jul 18, 2018",
"Jul 19, 2018",29.951
"Jul 20, 2018",
"Jul 21, 2018",
"Jul 22, 2018",
"Jul 23, 2018",
"Jul 24, 2018",
"Jul 25, 2018",
"Jul 26, 2018",
"Jul 27, 2018",
"Jul 28, 2018",
"Jul 29, 2018",
"Jul 30, 2018",
"Jul 31, 2018",
"Aug 1, 2018",
"Aug 2, 2018",
"Aug 3, 2018",8.256
"Aug 4, 2018",27.099
"Aug 5, 2018",
"Aug 6, 2018",
"Aug 7, 2018",
"Aug 8, 2018",25.615
"Aug 9, 2018",26.136
"Aug 10, 2018",26.344
"Aug 11, 2018",
"Aug 12, 2018",
"Aug 13, 2018",
"Aug 14, 2018",
"Aug 15, 2018",
"Aug 16, 2018",
"Aug 17, 2018",
"Aug 18, 2018",29.242
"Aug 19, 2018",
"Aug 20, 2018",
"Aug 21, 2018",
"Aug 22, 2018",
"Aug 23, 2018",
"Aug 24, 2018",
"Aug 25, 2018",
"Aug 26, 2018",
"Aug 27, 2018",
"Aug 28, 2018",
"Aug 29, 2018",29.172
"Aug 30, 2018",
"Aug 31, 2018",29.373
"Sep 1, 2018",17.383
"Sep 2, 2018",
"Sep 3, 2018",26.795
"Sep 4, 2018",
"Sep 5, 2018",
"Sep 6, 2018",
"Sep 7, 2018",26.346
"Sep 8, 2018",
"Sep 9, 2018",27.667
"Sep 10, 2018",
"Sep 11, 2018",27.497
"Sep 12, 2018",30.656
"Sep 13, 2018",32.912
"Sep 14, 2018",30.81
"Sep 15, 2018",
"Sep 16, 2018",28.732
"Sep 17, 2018",29.22
"Sep 18, 2018",30.012
"Sep 19, 2018",26.828
"Sep 20, 2018",
"Sep 21, 2018",
"Sep 22, 2018",
"Sep 23, 2018",30.838
"Sep 24, 2018",28.08
"Sep 25, 2018",29.223
"Sep 26, 2018",29.512
"Sep 27, 2018",29.491
"Sep 28, 2018",31.194
"Sep 29, 2018",26.928
"Sep 30, 2018",33.344
"Oct 1, 2018",30.106
"Oct 2, 2018",32.874
"Oct 3, 2018",30.65
"Oct 4, 2018",31.484
"Oct 5, 2018",31.499
"Oct 6, 2018",30.667
"Oct 7, 2018",32.909
"Oct 8, 2018",28.339
"Oct 9, 2018",33.797
"Oct 10, 2018",
"Oct 11, 2018",
"Oct 12, 2018",
"Oct 13, 2018",
"Oct 14, 2018",29.567
"Oct 15, 2018",27.932
"Oct 16, 2018",28.365
"Oct 17, 2018",27.713
"Oct 18, 2018",30.701
"Oct 19, 2018",30.649
"Oct 20, 2018",31.048
"Oct 21, 2018",31.045
"Oct 22, 2018",28.947
"Oct 23, 2018",31.455
"Oct 24, 2018",26.471
"Oct 25, 2018",30.605
"Oct 26, 2018",28.364
"Oct 27, 2018",29.69
"Oct 28, 2018",28.61
"Oct 29, 2018",26.706
"Oct 30, 2018",28.009
"Oct 31, 2018",
"Nov 1, 2018",28.465
"Nov 2, 2018",25.686
"Nov 3, 2018",31.884
"Nov 4, 2018",29.984
"Nov 5, 2018",30.29
"Nov 6, 2018",30.985
"Nov 7, 2018",26.109
"Nov 8, 2018",29.167
"Nov 9, 2018",
