system:time_start,LST
"Jan 1, 2018",26.126
"Jan 2, 2018",21.917
"Jan 3, 2018",22.315
"Jan 4, 2018",22.013
"Jan 5, 2018",21.656
"Jan 6, 2018",23.831
"Jan 7, 2018",21.336
"Jan 8, 2018",20.208
"Jan 9, 2018",
"Jan 10, 2018",22.368
"Jan 11, 2018",
"Jan 12, 2018",18.178
"Jan 13, 2018",
"Jan 14, 2018",21.316
"Jan 15, 2018",23.374
"Jan 16, 2018",21.593
"Jan 17, 2018",23.96
"Jan 18, 2018",24.484
"Jan 19, 2018",25.384
"Jan 20, 2018",25.342
"Jan 21, 2018",24.514
"Jan 22, 2018",26.373
"Jan 23, 2018",24.736
"Jan 24, 2018",25.775
"Jan 25, 2018",
"Jan 26, 2018",25.568
"Jan 27, 2018",23.33
"Jan 28, 2018",26.257
"Jan 29, 2018",26.841
"Jan 30, 2018",25.402
"Jan 31, 2018",26.136
"Feb 1, 2018",
"Feb 2, 2018",26.869
"Feb 3, 2018",25.505
"Feb 4, 2018",28.421
"Feb 5, 2018",25.405
"Feb 6, 2018",25.417
"Feb 7, 2018",28.667
"Feb 8, 2018",22.825
"Feb 9, 2018",25.537
"Feb 10, 2018",
"Feb 11, 2018",20.545
"Feb 12, 2018",29.511
"Feb 13, 2018",
"Feb 14, 2018",29.262
"Feb 15, 2018",29.743
"Feb 16, 2018",30.444
"Feb 17, 2018",25.998
"Feb 18, 2018",30.322
"Feb 19, 2018",28.194
"Feb 20, 2018",29.402
"Feb 21, 2018",29.921
"Feb 22, 2018",29.648
"Feb 23, 2018",32.275
"Feb 24, 2018",31.135
"Feb 25, 2018",31.244
"Feb 26, 2018",29.481
"Feb 27, 2018",35.054
"Feb 28, 2018",30.925
"Mar 1, 2018",33.801
"Mar 2, 2018",34.975
"Mar 3, 2018",34.784
"Mar 4, 2018",37.578
"Mar 5, 2018",31.23
"Mar 6, 2018",34.576
"Mar 7, 2018",35.357
"Mar 8, 2018",37.815
"Mar 9, 2018",34.83
"Mar 10, 2018",36.504
"Mar 11, 2018",37.967
"Mar 12, 2018",32.008
"Mar 13, 2018",38.652
"Mar 14, 2018",34.398
"Mar 15, 2018",35.603
"Mar 16, 2018",32.14
"Mar 17, 2018",36.04
"Mar 18, 2018",35.114
"Mar 19, 2018",38.077
"Mar 20, 2018",39.294
"Mar 21, 2018",34.762
"Mar 22, 2018",36.344
"Mar 23, 2018",33.228
"Mar 24, 2018",35.527
"Mar 25, 2018",32.965
"Mar 26, 2018",35.736
"Mar 27, 2018",37.201
"Mar 28, 2018",34.347
"Mar 29, 2018",40.853
"Mar 30, 2018",35.054
"Mar 31, 2018",26.565
"Apr 1, 2018",29.691
"Apr 2, 2018",24.175
"Apr 3, 2018",34.15
"Apr 4, 2018",34.755
"Apr 5, 2018",36.788
"Apr 6, 2018",27.235
"Apr 7, 2018",
"Apr 8, 2018",
"Apr 9, 2018",33.476
"Apr 10, 2018",30.999
"Apr 11, 2018",32.444
"Apr 12, 2018",32
"Apr 13, 2018",31.749
"Apr 14, 2018",33.692
"Apr 15, 2018",33.063
"Apr 16, 2018",38.356
"Apr 17, 2018",33.498
"Apr 18, 2018",33.416
"Apr 19, 2018",36.586
"Apr 20, 2018",33.938
"Apr 21, 2018",37.508
"Apr 22, 2018",
