system:time_start,LST
"Jan 1, 2018",23.65
"Jan 2, 2018",
"Jan 3, 2018",20.733
"Jan 4, 2018",
"Jan 5, 2018",19.342
"Jan 6, 2018",21.471
"Jan 7, 2018",18.12
"Jan 8, 2018",17.918
"Jan 9, 2018",
"Jan 10, 2018",19.697
"Jan 11, 2018",
"Jan 12, 2018",16.58
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",20.902
"Jan 16, 2018",18.639
"Jan 17, 2018",21.131
"Jan 18, 2018",
"Jan 19, 2018",22.024
"Jan 20, 2018",22.936
"Jan 21, 2018",22.199
"Jan 22, 2018",23.94
"Jan 23, 2018",22.787
"Jan 24, 2018",23.878
"Jan 25, 2018",22.313
"Jan 26, 2018",23.054
"Jan 27, 2018",21.092
"Jan 28, 2018",22.988
"Jan 29, 2018",23.712
"Jan 30, 2018",22.158
"Jan 31, 2018",22.812
"Feb 1, 2018",
"Feb 2, 2018",22.49
"Feb 3, 2018",
"Feb 4, 2018",26.034
"Feb 5, 2018",25.297
"Feb 6, 2018",23.238
"Feb 7, 2018",26.224
"Feb 8, 2018",20.526
"Feb 9, 2018",23.306
"Feb 10, 2018",
"Feb 11, 2018",23.47
"Feb 12, 2018",26.323
"Feb 13, 2018",22.491
"Feb 14, 2018",25.336
"Feb 15, 2018",26.772
"Feb 16, 2018",27.929
"Feb 17, 2018",24.803
"Feb 18, 2018",27.888
"Feb 19, 2018",
"Feb 20, 2018",25.901
"Feb 21, 2018",25.636
"Feb 22, 2018",26.857
"Feb 23, 2018",28.907
"Feb 24, 2018",27.791
"Feb 25, 2018",29.297
"Feb 26, 2018",26.046
"Feb 27, 2018",29.53
"Feb 28, 2018",27.185
"Mar 1, 2018",30.241
"Mar 2, 2018",30.849
"Mar 3, 2018",30.776
"Mar 4, 2018",32.751
"Mar 5, 2018",30.228
"Mar 6, 2018",31.162
"Mar 7, 2018",31.574
"Mar 8, 2018",33.692
"Mar 9, 2018",30.545
"Mar 10, 2018",33.752
"Mar 11, 2018",34.068
"Mar 12, 2018",30.073
"Mar 13, 2018",34.593
"Mar 14, 2018",29.109
"Mar 15, 2018",33.377
"Mar 16, 2018",30.452
"Mar 17, 2018",33.566
"Mar 18, 2018",33.107
"Mar 19, 2018",35.536
"Mar 20, 2018",34.776
"Mar 21, 2018",31.332
"Mar 22, 2018",33.769
"Mar 23, 2018",
"Mar 24, 2018",33.831
"Mar 25, 2018",31.293
"Mar 26, 2018",33.691
"Mar 27, 2018",33.754
"Mar 28, 2018",30.755
