system:time_start,LST
"Jan 1, 2018",23.956
"Jan 2, 2018",
"Jan 3, 2018",20.737
"Jan 4, 2018",19.897
"Jan 5, 2018",17.647
"Jan 6, 2018",21.852
"Jan 7, 2018",18.533
"Jan 8, 2018",18.346
"Jan 9, 2018",
"Jan 10, 2018",19.981
"Jan 11, 2018",
"Jan 12, 2018",17.339
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",20.143
"Jan 16, 2018",18.975
"Jan 17, 2018",21.034
"Jan 18, 2018",19.388
"Jan 19, 2018",21.614
"Jan 20, 2018",22.693
"Jan 21, 2018",22.724
"Jan 22, 2018",22.969
"Jan 23, 2018",23.094
"Jan 24, 2018",24.513
"Jan 25, 2018",22.559
"Jan 26, 2018",23.527
"Jan 27, 2018",21.473
"Jan 28, 2018",23.402
"Jan 29, 2018",23.832
"Jan 30, 2018",23.372
"Jan 31, 2018",23.958
"Feb 1, 2018",21.719
"Feb 2, 2018",23.929
"Feb 3, 2018",
"Feb 4, 2018",24.673
"Feb 5, 2018",
"Feb 6, 2018",24.993
"Feb 7, 2018",25.81
"Feb 8, 2018",17.854
"Feb 9, 2018",
"Feb 10, 2018",
"Feb 11, 2018",24.25
"Feb 12, 2018",26.047
"Feb 13, 2018",22.898
"Feb 14, 2018",24.848
"Feb 15, 2018",26.907
"Feb 16, 2018",27.666
"Feb 17, 2018",25.379
"Feb 18, 2018",27.792
"Feb 19, 2018",
"Feb 20, 2018",26.691
"Feb 21, 2018",24.27
"Feb 22, 2018",27.082
"Feb 23, 2018",28.956
"Feb 24, 2018",28.354
"Feb 25, 2018",30.423
"Feb 26, 2018",27.469
"Feb 27, 2018",30.169
"Feb 28, 2018",26.744
"Mar 1, 2018",30.882
"Mar 2, 2018",31.771
"Mar 3, 2018",31.595
"Mar 4, 2018",33.632
"Mar 5, 2018",29.708
"Mar 6, 2018",32.25
"Mar 7, 2018",30.334
"Mar 8, 2018",34.53
"Mar 9, 2018",30.97
"Mar 10, 2018",34.277
"Mar 11, 2018",34.2
"Mar 12, 2018",31.228
"Mar 13, 2018",34.99
"Mar 14, 2018",31.572
"Mar 15, 2018",33.087
"Mar 16, 2018",
"Mar 17, 2018",33.644
"Mar 18, 2018",32.241
"Mar 19, 2018",34.921
"Mar 20, 2018",34.919
"Mar 21, 2018",31.967
"Mar 22, 2018",33.432
"Mar 23, 2018",
"Mar 24, 2018",32.484
"Mar 25, 2018",
"Mar 26, 2018",31.784
"Mar 27, 2018",32.839
"Mar 28, 2018",32.417
"Mar 29, 2018",34.427
"Mar 30, 2018",24.926
"Mar 31, 2018",27.087
"Apr 1, 2018",26.293
"Apr 2, 2018",29.2
"Apr 3, 2018",31.48
"Apr 4, 2018",33.556
"Apr 5, 2018",32.807
"Apr 6, 2018",27.357
"Apr 7, 2018",29.887
"Apr 8, 2018",26.103
"Apr 9, 2018",30.511
"Apr 10, 2018",29.314
"Apr 11, 2018",29.7
"Apr 12, 2018",28.744
"Apr 13, 2018",29.455
"Apr 14, 2018",33.589
"Apr 15, 2018",30.664
"Apr 16, 2018",35.179
"Apr 17, 2018",28.912
"Apr 18, 2018",32.561
"Apr 19, 2018",31.419
"Apr 20, 2018",31.899
"Apr 21, 2018",30.008
"Apr 22, 2018",
"Apr 23, 2018",32.74
"Apr 24, 2018",27.873
"Apr 25, 2018",30.288
"Apr 26, 2018",24.785
"Apr 27, 2018",31.023
"Apr 28, 2018",28.934
"Apr 29, 2018",
"Apr 30, 2018",
"May 1, 2018",25.081
"May 2, 2018",29.779
"May 3, 2018",
"May 4, 2018",29.952
"May 5, 2018",27.178
"May 6, 2018",29.045
"May 7, 2018",
"May 8, 2018",27.807
"May 9, 2018",29.195
"May 10, 2018",
"May 11, 2018",31.751
"May 12, 2018",26.118
"May 13, 2018",29.733
"May 14, 2018",26.944
"May 15, 2018",24.669
"May 16, 2018",18.616
"May 17, 2018",20.827
"May 18, 2018",29.029
"May 19, 2018",
"May 20, 2018",30.376
"May 21, 2018",28.413
"May 22, 2018",
"May 23, 2018",28.247
"May 24, 2018",
"May 25, 2018",28.799
"May 26, 2018",
"May 27, 2018",31.951
"May 28, 2018",
"May 29, 2018",26.312
"May 30, 2018",
"May 31, 2018",
"Jun 1, 2018",22.343
"Jun 2, 2018",25.111
"Jun 3, 2018",29.984
"Jun 4, 2018",
"Jun 5, 2018",30.111
"Jun 6, 2018",28.604
"Jun 7, 2018",30.434
"Jun 8, 2018",25.884
"Jun 9, 2018",
"Jun 10, 2018",
"Jun 11, 2018",
"Jun 12, 2018",31.479
"Jun 13, 2018",22.859
