Year,District,Wheat_Yield_t_ha,year,precipitation_flowering,precipitation_growth,precipitation_harvest,precipitation_sowing,LST_flowering,LST_growth,LST_harvest,LST_sowing
2001,Darjeeling,2.5,2001,0.7876785714285715,0.07934782608695652,2.04441935483871,0.003870967741935484,24.977642857142857,18.051,26.238129032258062,19.150709677419357
2002,Darjeeling,2.55,2002,0.35642857142857143,0.13471739130434782,3.0266774193548387,0.002032258064516129,23.70032142857143,18.296326086956523,21.281774193548387,21.226225806451612
2003,Darjeeling,2.48,2003,1.4539642857142856,0.11413043478260869,1.5713548387096776,0.0,22.273785714285715,14.10554347826087,24.95051612903226,19.439548387096774
2004,Darjeeling,2.6,2004,1.1314137931034483,0.009347826086956522,2.0060000000000002,0.012838709677419353,23.80748275862069,16.59004347826087,21.675709677419356,20.256774193548388
2005,Darjeeling,2.58,2005,0.34810714285714284,0.003217391304347826,1.752709677419355,0.011870967741935483,23.873285714285714,18.17641304347826,25.14706451612903,20.33183870967742
2006,Darjeeling,2.52,2006,1.157857142857143,0.10708695652173914,2.9240645161290324,0.0,21.104071428571427,18.420369565217392,27.679193548387097,17.60532258064516
2007,Darjeeling,2.55,2007,0.9116071428571428,0.5261956521739131,1.983516129032258,0.0,20.37642857142857,16.32141304347826,25.3518064516129,19.427548387096774
2008,Darjeeling,2.57,2008,0.3664137931034483,0.006521739130434782,2.7038709677419352,0.028161290322580645,20.0,16.3997826086956522,25.0,18.0
2009,Darjeeling,2.5,2009,0.13299999999999998,0.10382608695652173,2.059290322580645,0.04029032258064517,20.91957142857143,17.021630434782608,26.096774193548388,17.17064516129032
2010,Darjeeling,2.55,2010,0.19649999999999998,0.2033913043478261,1.1279354838709679,0.02367741935483871,23.86167857142857,17.288065217391303,23.998870967741937,19.144129032258064
2011,Darjeeling,2.53,2011,0.7432142857142857,0.07419565217391304,2.4793548387096775,0.00025806451612903227,23.53542857142857,16.53495652173913,25.107064516129032,18.556870967741936
2012,Darjeeling,2.58,2012,0.15286206896551724,0.39052173913043475,5.329290322580645,0.0003225806451612903,21.29068965517241,15.694152173913045,25.52890322580645,17.65116129032258
2013,Darjeeling,2.6,2013,0.7954285714285714,0.008543478260869566,0.9770967741935483,0.0004193548387096774,24.284071428571426,16.322347826086958,24.805806451612902,20.68864516129032
2014,Darjeeling,2.54,2014,0.5863214285714287,0.015608695652173913,0.9112258064516128,0.11432258064516129,21.673928571428572,16.94991304347826,26.567580645161293,18.599483870967745
2015,Darjeeling,2.57,2015,0.6817142857142857,0.11982608695652175,2.737225806451613,0.0015806451612903223,21.21264285714286,16.556478260869564,23.70348387096774,17.740322580645163
2016,Darjeeling,2.52,2016,0.23224137931034483,0.2366304347826087,2.0906129032258063,0.00232258064516129,18.697793103448276,17.255326086956522,25.44558064516129,21.539354838709677
2017,Darjeeling,2.58,2017,1.687107142857143,0.1817826086956522,1.926806451612903,0.031290322580645166,21.917142857142856,18.363847826086957,24.83383870967742,19.465548387096774
2018,Darjeeling,2.6,2018,0.7455,0.2582391304347826,3.763645161290323,0.01796774193548387,20.833642857142856,15.851108695652172,25.342387096774196,18.81358064516129
2019,Darjeeling,2.55,2019,0.006178571428571428,0.756804347826087,3.1628064516129033,0.0007096774193548388,19.67196428571429,16.550304347826085,25.966322580645162,18.335967741935484
2020,Darjeeling,2.57,2020,1.3761034482758618,0.33149999999999996,2.9768709677419354,0.026483870967741935,20.942758620689656,16.218217391304346,27.237451612903225,19.248516129032257
2021,Darjeeling,2.59,2021,0.2767857142857143,0.2951086956521739,0.9149032258064517,0.01638709677419355,20.654642857142857,17.503586956521737,24.08506451612903,19.460709677419356
2022,Darjeeling,2.54,2022,0.529,0.6791304347826087,2.17,0.0008387096774193548,22.721749999999997,15.779608695652174,22.224709677419355,21.228935483870966
2023,Darjeeling,2.56,2023,1.038714285714286,0.10502173913043479,1.1310967741935485,0.02,19.937107142857144,16.22713043478261,25.04032258064516,19.33809677419355
2024,Darjeeling,2.58,2024,0.15437931034482757,0.11552173913043479,3.7044516129032257,0.008064516129032258,19.508,14.979,22.40932258064516,17.75358064516129
