Year,District,Wheat_Yield_t_ha,year,precipitation_flowering,precipitation_growth,precipitation_harvest,precipitation_sowing,LST_flowering,LST_growth,LST_harvest,LST_sowing
2001,Paschim Medinipur,2.9,2001,1.3451071428571428,0.09923913043478262,2.2447096774193547,0.0,31.457142857142856,25.432913043478262,34.632709677419356,27.78516129032258
2002,Paschim Medinipur,2.92,2002,0.4213928571428571,0.21634782608695652,2.0340645161290323,0.019870967741935485,31.507035714285713,24.635586956521742,26.83216129032258,26.135354838709677
2003,Paschim Medinipur,2.85,2003,2.472321428571429,0.5352608695652173,1.4697741935483872,0.1606774193548387,30.357321428571428,20.488326086956523,31.924516129032256,25.71425806451613
2004,Paschim Medinipur,2.95,2004,0.03596551724137931,0.3361304347826087,2.0266774193548387,0.027806451612903224,32.03727586206897,24.04810869565217,34.64967741935484,27.13967741935484
2005,Paschim Medinipur,2.93,2005,1.3356428571428574,0.45865217391304347,1.3996774193548387,0.020967741935483872,31.42810714285714,25.043717391304348,32.751387096774195,25.24809677419355
2006,Paschim Medinipur,2.87,2006,0.8838571428571428,0.22867391304347826,0.9800645161290323,0.0,32.64357142857143,24.916260869565214,35.94567741935484,27.568677419354838
2007,Paschim Medinipur,2.89,2007,0.5272142857142857,1.4964347826086957,1.683741935483871,0.24803225806451612,28.495571428571427,24.459347826086955,33.55767741935484,26.63525806451613
2008,Paschim Medinipur,2.91,2008,0.363551724137931,0.3154130434782608,2.7301612903225805,0.035290322580645156,29.0,24.049782608695652,32.0,28.0
2009,Paschim Medinipur,2.86,2009,0.6793571428571428,0.3926304347826087,1.4221612903225807,0.7833870967741936,32.349821428571424,25.69904347826087,35.181451612903224,26.223193548387098
2010,Paschim Medinipur,2.9,2010,0.42928571428571427,0.4438695652173913,1.2773870967741934,0.5381935483870967,31.57392857142857,24.386695652173913,35.92941935483871,26.733064516129033
2011,Paschim Medinipur,2.88,2011,1.085607142857143,0.05736956521739131,2.507064516129032,0.054645161290322576,30.29060714285714,24.253173913043476,31.762161290322585,27.568612903225805
2012,Paschim Medinipur,2.92,2012,0.14268965517241378,1.2363478260869565,3.4677096774193545,0.3422258064516129,29.922172413793106,23.10032608695652,32.91432258064516,26.147032258064517
2013,Paschim Medinipur,2.94,2013,0.5541785714285714,0.29708695652173917,0.8241290322580644,0.2654516129032258,30.500642857142857,23.795282608695654,35.5111935483871,25.03548387096774
2014,Paschim Medinipur,2.89,2014,1.8443214285714287,0.4399782608695652,0.1945806451612903,0.10106451612903226,26.96485714285714,24.271565217391302,34.191,25.95951612903226
2015,Paschim Medinipur,2.91,2015,0.27667857142857144,0.25504347826086954,2.551,0.2060322580645161,30.201642857142854,23.077239130434783,32.072709677419354,27.35841935483871
2016,Paschim Medinipur,2.87,2016,2.677724137931034,0.002673913043478261,1.677258064516129,0.018548387096774192,24.220862068965516,25.019086956521736,34.49693548387096,26.52174193548387
2017,Paschim Medinipur,2.92,2017,2.1610714285714283,0.073,1.0300645161290323,1.1068064516129033,29.53675,24.493565217391303,32.72087096774194,25.386290322580646
2018,Paschim Medinipur,2.94,2018,0.0,0.5735869565217392,3.6687419354838706,0.6778064516129032,30.476285714285716,23.137999999999998,31.16032258064516,26.90641935483871
2019,Paschim Medinipur,2.9,2019,4.005214285714286,0.04473913043478261,3.753064516129032,0.17380645161290323,27.653464285714286,23.416739130434784,30.080032258064517,26.27674193548387
2020,Paschim Medinipur,2.91,2020,0.7346551724137931,0.5656304347826087,2.557548387096774,0.5385161290322581,26.718586206896553,23.033065217391304,32.53093548387097,26.318677419354838
2021,Paschim Medinipur,2.93,2021,0.7668214285714285,0.23500000000000001,0.580258064516129,1.108774193548387,30.107071428571427,23.94841304347826,33.09309677419355,25.209709677419355
2022,Paschim Medinipur,2.89,2022,1.9176071428571428,0.3202608695652174,0.4758709677419355,0.12516129032258064,27.542642857142855,23.10763043478261,32.176806451612904,25.92009677419355
2023,Paschim Medinipur,2.91,2023,0.0965,0.25534782608695655,2.8122580645161293,1.1412903225806452,29.838357142857145,23.702478260869565,30.14509677419355,22.745677419354838
2024,Paschim Medinipur,2.92,2024,0.1573103448275862,0.7466521739130434,2.100032258064516,0.14051612903225805,26.872620689655175,21.685195652173913,29.520516129032256,22.676161290322582
